area,sites,geology,Ca,Mg,Na,K,Sr,Alk,Cl,SO,Br,I,Fe,H,O,C
SPILAMBERTO,Spilamberto P ,B ,700,6.48,7845,117,0,244,24200,1060,0,0,4,-13.3,-0.85,0
TABIANO,Terme 5,C ,1700,840,1470,87,0,70,2260,50,0,0,0,0,0,0
TABIANO,Arve1,C ,618,109,1600,8.1,10,452,132,1680,0.07,0.06,3,0,0,0
VALMADONNA,Inea ,I ,870,250,6900,58.7,0,525,10600,927,0,0,0,0,-8.56,0
VOLPEDO,Volpedo ,A ,1170,910,12800,182,0,30,23670,4,0,0,0,0,0,0
VOLPEDO,Monferrato,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VOLPEDO,Montafia 3 ,D ,39.5,49.8,262,10.1,0.9,472,566,5.89,0,0,0,0,-9.14,-10.97
VOLPEDO,Brozolo ,D ,32.3,45.8,95.4,3.43,0.8,401,172,29.7,0,0,0,0,-7.67,-13.52
VOLPEDO,Murisengo ,D ,110,106,63.3,3.76,0.9,290,119,490,0,0,0,0,-7.91,-12.56
VOLPEDO,Alfiano Natta ,D ,44.9,77.5,17.4,1.47,0.2,434,18.8,75.8,0,0,0,0,-8.1,-14.22
VOLPEDO,S. Margherita ,D ,611,324,2270,37.9,15.6,119,4720,3480,0,0,0,0,-10,-10.73
VOLPEDO,Rio Freddo ,D ,46.7,113,28.9,1.3,1,516,19.3,37.1,0,0,0,0,-6.67,-14.06
VOLPEDO,Lussello 1 ,D ,72.3,58,3.56,0.56,0,434,15.2,48.2,0,0,0,0,-8.34,-13.69
VOLPEDO,Treville 2 ,D ,568,126,54.5,4.87,13,379,155,1620,0,0,0,0,-7.34,-11.89
VOLPEDO,Montemagno ,D ,569,105,38,5.02,12.8,416,51.6,1470,0,0,0,0,-7.68,-13.32
VOLPEDO,Calliano ,D ,581,118,154,6.5,14.2,382,265,1570,0,0,0,0,-7.76,-14.8
VOLPEDO,Agliano 3 ,D ,217,213,2220,25,8.2,311,3860,1960,0,0,0,0,-8.96,-10.32
VOLPEDO,Allere Alta ,D ,196,43,17.4,0.66,0,466,45.6,175,0,0,0,0,-7.67,-12.36
VOLPEDO,Po plain mud volcanoes,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NIRANO,Vulcanello 1394  ,F ,95,265,4350,42,0,405,7300,200,62.6,40.3,0,0,0,0
NIRANO,Vulcanello 3787  ,*,0,0,0,0,0,0,0,0,0,0,0,-2.02,4.69,0
NIRANO,Vulcanello 13787,*,0,0,0,0,4.77,0,0,0,0,0,0,4.03,5.51,0
OSPITALETTO,Ospitaletto 1 23587,F*,105,101,4800,11,24,970,7350,0,37.7,24.7,0,9.05,5.93,0
OSPITALETTO,Ospitaletto 2 ,F,190,131,4950,18,0,490,8090,0,0,0,0,0,0,0
OSPITALETTO,Ospitaletto  ,*,0,0,0,0,0,0,0,0,0,0,0,3.27,4.62,0
REGNANO,Vulcanello 2,F* ,220,84,5500,21.5,0,1880,8020,53,58.8,40.5,0,0,0,0
REGNANO,Vulcanello 3,G ,0,0,0,0,0,2010,7900,185,0,0,0,0,2.93,-1.7
REGNANO,Vulcanello 23587,*,0,0,0,0,8.78,0,0,0,0,0,0,0,0,0
REGNANO,vulcanello 1394b  ,*,0,0,0,0,16.3,0,0,0,0,0,0,-2.24,3.58,0
